StateFull,State,Country,PADD,Division,CensusDivision,Gasoline,Diesel,CarbonIntensity,SingleDetached_sqft,SingleAttached_sqft,SmallApartmentBuilding_sqft,LargeApartmentBuilding_sqft,MobileHome_sqft,SingleDetached_household,SingleAttached_household,SmallApartmentBuilding_household,LargeApartmentBuilding_household,MobileHome_household,Gasoline2021,Diesel2021
Arkansas,AR,US,2,Midwest,South,2.541,2.955,424.822,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.124,3.253
Illinois,IL,US,2,Midwest,Midwest,2.541,2.955,236.8536,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Indiana,IN,US,2,Midwest,Midwest,2.541,2.955,699.5812,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Iowa,IA,US,2,Midwest,Midwest,2.541,2.955,274.205,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Kansas,KS,US,2,Midwest,Midwest,2.541,2.955,372.8999,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Kentucky,KY,US,2,Midwest,South,2.541,2.955,778.0514,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.124,3.253
Michigan,MI,US,2,Midwest,Midwest,2.541,2.955,432.1205,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Minnesota,MN,US,2,Midwest,Midwest,2.541,2.955,337.2195,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Missouri,MO,US,2,Midwest,Midwest,2.541,2.955,729.1931,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Nebraska,NE,US,2,Midwest,Midwest,2.541,2.955,560.7807,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
North Dakota,ND,US,2,Midwest,Midwest,2.541,2.955,614.2415,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Ohio,OH,US,2,Midwest,Midwest,2.541,2.955,540.0712,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Oklahoma,OK,US,2,Midwest,South,2.541,2.955,303.2184,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.124,3.253
South Dakota,SD,US,2,Midwest,Midwest,2.541,2.955,119.2271,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Tennessee,TN,US,2,Midwest,South,2.541,2.955,263.4762,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.124,3.253
Wisconsin,WI,US,2,Midwest,Midwest,2.541,2.955,507.1101,0.011781414,0.012924387,0.015884394,0.012455475,0.019137471,33.0583,25.14541,16.38261,10.78498,21.51134,3.124,3.253
Alabama,AL,US,3,Gulf Coast,South,2.353,2.819,313.0615,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,2.879,3.07
Louisiana,LA,US,3,Gulf Coast,South,2.353,2.819,355.8135,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,2.879,3.07
Mississippi,MS,US,3,Gulf Coast,South,2.353,2.819,398.3116,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,2.879,3.07
New Mexico,NM,US,3,Gulf Coast,West,2.353,2.819,552.9736,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,2.879,3.07
Texas,TX,US,3,Gulf Coast,South,2.353,2.819,383.9887,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,2.879,3.07
Colorado,CO,US,4,Rocky Mountain,West,2.736,3.043,527.8931,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,3.71,3.653
Idaho,ID,US,4,Rocky Mountain,West,2.736,3.043,82.56095,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,3.71,3.653
Montana,MT,US,4,Rocky Mountain,West,2.736,3.043,421.2692,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,3.71,3.653
Utah,UT,US,4,Rocky Mountain,West,2.736,3.043,693.3517,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,3.71,3.653
Wyoming,WY,US,4,Rocky Mountain,West,2.736,3.043,848.1184,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,3.71,3.653
Alaska,AK,US,5,West Coast,West,3.427,3.617,438.1343,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
Arizona,AZ,US,5,West Coast,West,3.427,3.617,315.6537,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
California,CA,US,5,West Coast,West,3.427,3.617,174.4345,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
Hawaii,HI,US,5,West Coast,West,3.427,3.617,636.2875,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
Nevada,NV,US,5,West Coast,West,3.427,3.617,320.0024,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
Oregon,OR,US,5,West Coast,West,3.427,3.617,138.0727,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,4.004
Washington,WA,US,5,West Coast,West,3.427,3.617,97.9688,0.009554082,0.00967131,0.012103791,0.009436854,0.014184588,21.92164,14.44835,11.01943,7.795662,16.00162,4.032,3.264
Connecticut,CT,US,1A,New England,Northeast,2.647,3.313,236.8263,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
Maine,ME,US,1A,New England,Northeast,2.647,3.313,95.0857,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
Massachusetts,MA,US,1A,New England,Northeast,2.647,3.313,341.3084,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
New Hampshire,NH,US,1A,New England,Northeast,2.647,3.313,101.2038,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
Rhode Island,RI,US,1A,New England,Northeast,2.647,3.313,380.5091,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
Vermont,VT,US,1A,New England,Northeast,2.647,3.313,0.545756,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.175,3.264
Delaware,DE,US,1B,Central Atlantic,South,2.725,3.267,388.9445,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.318,3.484
District Of Columbia,DC,US,1B,Central Atlantic,South,2.725,3.267,276.5146521,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.318,3.484
Maryland,MD,US,1B,Central Atlantic,South,2.725,3.267,262.9267,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.318,3.484
New Jersey,NJ,US,1B,Central Atlantic,Northeast,2.725,3.267,215.5124,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.318,3.484
New York,NY,US,1B,Central Atlantic,Northeast,2.725,3.267,179.7929,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.318,3.484
Pennsylvania,PA,US,1B,Central Atlantic,Northeast,2.725,3.267,307.5944,0.012367554,0.013305378,0.018639252,0.014389737,0.020983812,36.78029,27.31412,20.57351,12.01587,23.79728,3.318,3.484
Florida,FL,US,1C,Lower Atlantic,South,2.488,2.945,380.294,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
Georgia,GA,US,1C,Lower Atlantic,South,2.488,2.945,316.3476,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
North Carolina,NC,US,1C,Lower Atlantic,South,2.488,2.945,299.1537,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
South Carolina,SC,US,1C,Lower Atlantic,South,2.488,2.945,223.9929,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
Virginia,VA,US,1C,Lower Atlantic,South,2.488,2.945,290.1026,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
West Virginia,WV,US,1C,Lower Atlantic,South,2.488,2.945,866.9052,0.010198836,0.010052301,0.012543396,0.010345371,0.013041615,24.23689,16.55846,12.33825,9.96438,16.29469,3.07,3.213
Alberta,AB,Canada,NA,NA,NA,0.92125,0.98025,790,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.338,1.232
British Columbia,BC,Canada,NA,NA,NA,1.244833,1.125375,12.9,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.644,1.499
Manitoba,MB,Canada,NA,NA,NA,0.930146,1.04125,3.4,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.318,1.288
New Brunswick,NB,Canada,NA,NA,NA,0.9645,1.019833,280,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.363,1.327
Newfoundland,NF,Canada,NA,NA,NA,1.06725,1.087167,32,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.519,1.473
Northwest,NT,Canada,NA,NA,NA,1.147583,1.148833,390,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.498,1.434
Nova Scotia,NS,Canada,NA,NA,NA,0.923167,0.906583,600,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.341,1.234
Nunavut,NU,Canada,NA,NA,NA,1.0765,1.1695,750,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.498,1.434
Ontario,ON,Canada,NA,NA,NA,1.037167,1.006958,40,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.399,1.271
Prince Edward,PE,Canada,NA,NA,NA,0.96725,1.02625,20,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.367,1.339
Quebec,QC,Canada,NA,NA,NA,1.049083,1.07475,1.2,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.406,1.282
Saskatchewan,SK,Canada,NA,NA,NA,0.966833,1.014208,660,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.316,1.251
Yukon,YT,Canada,NA,NA,NA,1.207833,1.258417,41,0.020903221,0.01677419,0.015483867,0.015483867,0.029935477,37.97225,26.63891,17.8889,17.8889,37.05559,1.546,1.465
