id,ipaddress,condition,code,carbonfootpilot2
371,::1,0,99247625,15.37
372,206.12.167.74,1,48164545,32.17
373,128.189.229.130,2,03323186,33.01
374,128.189.229.130,3,22973550,6.48
375,128.189.229.130,4,14834382,47.09
376,128.189.229.130,2,17048850,24.2
377,128.189.229.130,0,47869557,3
378,128.189.229.130,1,18986448,44.75
379,128.189.229.130,3,84744196,34.03
380,128.189.229.130,4,92059427,106.89
381,128.189.229.130,0,14694456,88.72
382,128.189.229.130,1,36480802,9.52
383,128.189.229.130,2,20577818,103.45
384,128.189.229.130,3,53878075,163.94
385,206.12.160.133,4,92222239,235.99
386,206.12.160.133,0,76819485,59.33
387,206.12.160.133,1,70538196,3.34
388,206.12.160.133,2,54269331,74.71
389,128.189.229.130,3,83961750,112.52
390,128.189.229.130,4,85401674,329.95
391,128.189.229.130,3,03370076,329.95
392,128.189.229.130,0,38773491,65.13
393,128.189.229.130,1,71880109,329.61
394,128.189.229.130,2,93031764,36.67
395,128.189.229.130,4,04118102,8.56
396,128.189.227.106,1,36153093,21.61
397,128.189.227.106,0,89813300,14.47
398,128.189.227.106,2,85149023,34.34
399,128.189.227.106,3,40772376,3.04
400,128.189.227.106,4,43293983,329.71
401,128.189.227.106,0,16462186,29.17
402,128.189.227.106,1,90258055,5.21
403,128.189.227.106,2,36468412,3.76
404,128.189.227.106,3,07138827,21.02
405,128.189.227.106,4,20102176,21.88
406,128.189.227.106,3,32940640,8.1
407,128.189.227.106,0,44801423,95.14
408,128.189.227.106,1,79130474,38.82
409,128.189.227.106,2,34079746,5.52
410,128.189.227.106,4,53069555,7.84
411,128.189.227.106,4,87089384,19.74
412,206.12.163.127,0,35969035,36.45
413,128.189.104.181,1,07902077,39.06
414,208.185.97.170,4,92021909,197.26
415,50.18.16.202,0,53122155,30.76
416,74.193.219.151,1,95540479,63.82
417,104.139.104.189,2,97149164,37.01
418,198.21.131.147,3,97521503,37.95
419,45.42.190.55,3,74633140,71.57
420,68.188.223.219,0,01274748,38.81
421,65.144.25.18,1,10283747,58.97
